               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.025453,            0.023243,           0.0028339,             0.84494,             0.67667,             0.75371,              0.4357,            0.028889,            0.033789,           0.0097557,           0.0023971,           0.0023971,           0.0023971
                  97,            0.023359,            0.020728,           0.0027467,             0.84494,             0.67667,             0.75371,              0.4357,            0.028889,            0.033784,           0.0097557,            0.002318,            0.002318,            0.002318
                  98,            0.024462,            0.022819,           0.0022619,             0.85936,             0.66943,              0.7545,             0.43541,            0.029231,             0.03373,           0.0098224,           0.0022409,           0.0022409,           0.0022409
                  99,            0.025088,            0.023809,           0.0022025,             0.85936,             0.66943,              0.7545,             0.43541,            0.029231,             0.03373,           0.0098224,           0.0021657,           0.0021657,           0.0021657
                 100,            0.024496,            0.019448,           0.0027017,             0.85618,             0.67211,             0.75366,             0.43369,            0.029392,            0.033742,           0.0098599,           0.0020926,           0.0020926,           0.0020926
                 101,            0.027491,            0.023436,           0.0028018,             0.84794,             0.67935,              0.7549,             0.43447,            0.029149,            0.033656,           0.0098649,           0.0020215,           0.0020215,           0.0020215
                 102,            0.020285,            0.022859,            0.002369,             0.84794,             0.67935,              0.7549,             0.43447,            0.029149,            0.033659,           0.0098649,           0.0019524,           0.0019524,           0.0019524
                 103,            0.024693,            0.026275,           0.0024918,             0.85125,             0.67559,             0.75492,             0.43497,            0.028964,            0.033524,           0.0099363,           0.0018856,           0.0018856,           0.0018856
                 104,            0.022914,            0.015787,           0.0017607,             0.84406,             0.68074,             0.75536,             0.43686,            0.028672,             0.03336,           0.0099756,           0.0018209,           0.0018209,           0.0018209
                 105,             0.02531,            0.021411,           0.0038415,             0.84406,             0.68074,             0.75536,             0.43686,            0.028672,            0.033362,           0.0099756,           0.0017584,           0.0017584,           0.0017584
                 106,            0.025045,            0.019253,           0.0013702,             0.84937,             0.67979,             0.75653,             0.43884,            0.028573,            0.033272,           0.0099414,           0.0016982,           0.0016982,           0.0016982
                 107,            0.024239,            0.025739,           0.0024491,             0.84937,             0.67979,             0.75653,             0.43884,            0.028573,            0.033273,           0.0099414,           0.0016402,           0.0016402,           0.0016402
                 108,            0.022739,            0.020363,           0.0020966,             0.84836,             0.67767,             0.75797,             0.44066,            0.028553,            0.033321,            0.010035,           0.0015846,           0.0015846,           0.0015846
                 109,            0.024808,            0.021834,           0.0023934,             0.83406,             0.68324,             0.75631,             0.44075,             0.02859,             0.03334,           0.0099666,           0.0015314,           0.0015314,           0.0015314
                 110,            0.021974,            0.020737,           0.0015694,             0.83406,             0.68324,             0.75631,             0.44075,             0.02859,            0.033338,           0.0099666,           0.0014805,           0.0014805,           0.0014805
                 111,            0.022985,            0.021431,           0.0022658,             0.83374,             0.68805,             0.75746,             0.44078,             0.02866,            0.033321,           0.0099454,            0.001432,            0.001432,            0.001432
